"Time","Diffus","Global 0°","Global 45°","Global 60°","Global 30°","ClearSky 0° F"
2023-01-01 08:30:00,50.2 W/m²,186 W/m²,525 W/m²,531 W/m²,459 W/m²,191 W/m²
2023-01-01 08:35:00,51.7 W/m²,205 W/m²,572 W/m²,579 W/m²,500 W/m²,202 W/m²
2023-01-01 08:40:00,52.1 W/m²,222 W/m²,616 W/m²,625 W/m²,540 W/m²,212 W/m²
2023-01-01 08:45:00,52.6 W/m²,233 W/m²,636 W/m²,645 W/m²,558 W/m²,223 W/m²
2023-01-01 08:50:00,53.9 W/m²,242 W/m²,648 W/m²,657 W/m²,569 W/m²,233 W/m²
2023-01-01 08:55:00,56.3 W/m²,255 W/m²,668 W/m²,677 W/m²,588 W/m²,243 W/m²
2023-01-01 09:00:00,57.2 W/m²,250 W/m²,637 W/m²,645 W/m²,562 W/m²,253 W/m²
2023-01-01 09:05:00,60.7 W/m²,277 W/m²,696 W/m²,705 W/m²,615 W/m²,263 W/m²
2023-01-01 09:10:00,62.0 W/m²,286 W/m²,709 W/m²,717 W/m²,627 W/m²,272 W/m²
2023-01-01 09:15:00,65.3 W/m²,287 W/m²,699 W/m²,707 W/m²,619 W/m²,281 W/m²
2023-01-01 09:20:00,66.3 W/m²,278 W/m²,666 W/m²,674 W/m²,591 W/m²,290 W/m²
2023-01-01 09:25:00,67.7 W/m²,301 W/m²,717 W/m²,727 W/m²,636 W/m²,299 W/m²
2023-01-01 09:30:00,67.9 W/m²,317 W/m²,750 W/m²,758 W/m²,664 W/m²,307 W/m²
2023-01-01 09:35:00,69.4 W/m²,331 W/m²,781 W/m²,794 W/m²,695 W/m²,315 W/m²
2023-01-01 09:40:00,73.2 W/m²,337 W/m²,783 W/m²,798 W/m²,698 W/m²,323 W/m²
2023-01-01 09:45:00,75.8 W/m²,352 W/m²,813 W/m²,831 W/m²,726 W/m²,330 W/m²
2023-01-01 09:50:00,77.6 W/m²,363 W/m²,834 W/m²,854 W/m²,745 W/m²,337 W/m²
2023-01-01 09:55:00,82.3 W/m²,372 W/m²,848 W/m²,866 W/m²,759 W/m²,344 W/m²
2023-01-01 10:00:00,90.0 W/m²,384 W/m²,867 W/m²,886 W/m²,777 W/m²,350 W/m²
2023-01-01 10:05:00,111 W/m²,405 W/m²,893 W/m²,913 W/m²,801 W/m²,357 W/m²
2023-01-01 10:10:00,116 W/m²,396 W/m²,870 W/m²,889 W/m²,781 W/m²,362 W/m²
2023-01-01 10:15:00,102 W/m²,359 W/m²,791 W/m²,810 W/m²,711 W/m²,368 W/m²
2023-01-01 10:20:00,98.7 W/m²,328 W/m²,711 W/m²,730 W/m²,640 W/m²,373 W/m²
